track_uid,n_frames_validos,calculated_length_cm,gt_cm,abs_error_cm,mean_elevation_deg,dataset,scenario,video_day,video_name,especie_gt,rel_error_perc
Dataset_1_2024_11_12_10-48-44_0_20,6.0,30.659933104658432,31.5,0.8400668953415682,12.622201115935283,Dataset_1,single_fish,2024_11_12,10-48-44_0,lubina0,2.6668790328303755
Dataset_1_2024_11_12_10-48-44_0_24,45.0,30.890020222785147,31.5,0.6099797772148534,-12.839290485817557,Dataset_1,single_fish,2024_11_12,10-48-44_0,lubina0,1.936443737190011
Dataset_1_2024_11_12_10-48-44_0_43,8.0,30.6080179855022,31.5,0.891982014497799,-13.120620645403193,Dataset_1,single_fish,2024_11_12,10-48-44_0,lubina0,2.8316889349136476
Dataset_1_2024_11_12_10-51-31_1_12,67.0,31.428613939964944,31.5,0.07138606003505643,-8.008688586719549,Dataset_1,single_fish,2024_11_12,10-51-31_1,lubina0,0.22662241280970294
Dataset_1_2024_11_12_10-51-31_1_29,11.0,30.98569328133744,31.5,0.5143067186625601,-3.4205314407655645,Dataset_1,single_fish,2024_11_12,10-51-31_1,lubina0,1.6327197417859052
Dataset_1_2024_11_12_10-51-31_1_38,7.0,30.92991522865331,31.5,0.5700847713466892,-11.6361346575785,Dataset_1,single_fish,2024_11_12,10-51-31_1,lubina0,1.8097929249101246
Dataset_1_2024_11_12_10-51-31_1_42,6.0,30.50471384495934,31.5,0.9952861550406595,13.184937691736275,Dataset_1,single_fish,2024_11_12,10-51-31_1,lubina0,3.159638587430665
Dataset_1_2024_11_12_10-54-07_0_15,13.0,30.91005463939997,31.5,0.58994536060003,-10.199021570518171,Dataset_1,single_fish,2024_11_12,10-54-07_0,lubina0,1.8728424146032696
Dataset_1_2024_11_12_10-54-07_0_34,10.0,30.350212635954758,31.5,1.1497873640452418,2.5337454292718258,Dataset_1,single_fish,2024_11_12,10-54-07_0,lubina0,3.650118616016641
Dataset_1_2024_11_12_10-54-07_0_38,23.0,32.68443336825525,31.5,1.1844333682552488,0.9283276351594647,Dataset_1,single_fish,2024_11_12,10-54-07_0,lubina0,3.760105930969044
Dataset_1_2024_11_12_10-54-07_0_8,6.0,31.0446667991075,31.5,0.4553332008925004,-1.1601770327130936,Dataset_1,single_fish,2024_11_12,10-54-07_0,lubina0,1.445502225055557
Dataset_1_2024_11_12_10-58-20_0_15,38.0,41.40200604595936,31.5,9.90200604595936,-6.505132387289955,Dataset_1,single_fish,2024_11_12,10-58-20_0,lubina0,31.434939828442417
Dataset_1_2024_11_12_10-58-20_0_19,7.0,31.27140085220212,31.5,0.2285991477978797,17.902885799085492,Dataset_1,single_fish,2024_11_12,10-58-20_0,lubina0,0.7257115803107292
Dataset_1_2024_11_12_10-58-20_0_21,9.0,30.39043637630201,31.5,1.1095636236979907,-19.456589752990215,Dataset_1,single_fish,2024_11_12,10-58-20_0,lubina0,3.522424202215843
Dataset_1_2024_11_12_10-58-20_0_8,15.0,31.29763889376862,31.5,0.20236110623137904,-5.4928976077439176,Dataset_1,single_fish,2024_11_12,10-58-20_0,lubina0,0.6424162102583462
Dataset_1_2024_11_12_11-00-27_0_1,12.0,32.0682044461661,31.5,0.5682044461660993,-3.7719498154186986,Dataset_1,single_fish,2024_11_12,11-00-27_0,lubina0,1.8038236386225377
Dataset_1_2024_11_12_11-00-27_0_12,20.0,32.61909813576819,31.5,1.1190981357681906,-9.131584789574955,Dataset_1,single_fish,2024_11_12,11-00-27_0,lubina0,3.5526924945021925
Dataset_1_2024_11_12_11-00-27_0_21,25.0,29.176010686492848,31.5,2.323989313507152,14.538640698902777,Dataset_1,single_fish,2024_11_12,11-00-27_0,lubina0,7.377743852403657
Dataset_1_2024_11_12_11-08-39_0_12,6.0,31.12821274796692,31.5,0.37178725203308005,-2.973001797690412,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0,1.1802769905812065
Dataset_1_2024_11_12_11-08-39_0_14,6.0,31.31431758628312,31.5,0.18568241371687932,4.113003545061169,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0,0.5894679800535851
Dataset_1_2024_11_12_11-08-39_0_20,14.0,30.912653089306207,31.5,0.5873469106937925,7.158945067452151,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0,1.864593367281881
Dataset_1_2024_11_12_11-08-39_0_31,30.0,30.69541261801768,31.5,0.8045873819823193,-8.924651577266916,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0,2.554245657086728
Dataset_1_2024_11_12_11-08-39_0_33,50.0,31.222721465762387,31.5,0.2772785342376132,-9.339693790354334,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0,0.8802493150400418
Dataset_1_2024_11_12_11-08-39_0_56,14.0,31.13921802514997,31.5,0.36078197485003116,-0.5342198432904703,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0,1.1453396026985116
Dataset_1_2024_11_12_11-08-39_0_61,6.0,30.778547654522807,31.5,0.7214523454771928,1.9304476471022307,Dataset_1,single_fish,2024_11_12,11-08-39_0,lubina0,2.290324906276803
Dataset_1_2024_11_12_11-10-51_0_16,24.0,31.177872270568844,31.5,0.32212772943115553,-17.379338230205427,Dataset_1,single_fish,2024_11_12,11-10-51_0,lubina0,1.0226277124798588
Dataset_1_2024_11_12_11-10-51_0_35,42.0,30.867767341384106,31.5,0.6322326586158944,-9.99188094931463,Dataset_1,single_fish,2024_11_12,11-10-51_0,lubina0,2.0070878051298235
Dataset_1_2024_11_12_11-10-51_0_42,35.0,31.338668413966282,31.5,0.1613315860337181,0.19999379396914915,Dataset_1,single_fish,2024_11_12,11-10-51_0,lubina0,0.5121637651864067
Dataset_1_2024_11_12_11-10-51_0_48,11.0,31.480823503875598,31.5,0.019176496124401865,7.918779934409293,Dataset_1,single_fish,2024_11_12,11-10-51_0,lubina0,0.060877765474291634
Dataset_1_2024_11_12_11-37-10_0_14,11.0,31.859717897998703,31.5,0.3597178979987028,7.531370172612708,Dataset_1,single_fish,2024_11_12,11-37-10_0,lubina0,1.1419615809482628
Dataset_1_2024_11_12_11-37-10_0_38,42.0,31.254150207642372,31.5,0.24584979235762816,-11.386390120177614,Dataset_1,single_fish,2024_11_12,11-37-10_0,lubina0,0.7804755312940577
Dataset_1_2024_11_28_12-52-36_0_12,35.0,30.247983655027145,28.9,1.3479836550271465,-3.883931542324393,Dataset_1,single_fish,2024_11_28,12-52-36_0,caballa,4.664303304592202
Dataset_1_2024_11_28_12-52-36_0_17,31.0,29.17276119276238,28.9,0.2727611927623812,-1.2368890970010886,Dataset_1,single_fish,2024_11_28,12-52-36_0,caballa,0.9438103555791737
